LPM,AREA,POINT_ID,EASTING-X,NORTHING-Y,LATITUDE,LONGITUDE,DESCRIPTION
6,2.007,1,316700.65,1617594.2,14.625512,79.298154,"WaterBody,Vagu/Vanka/Yeru"
6,2.007,2,316746.29,1617592.96,14.625504,79.298578,"WaterBody,Vagu/Vanka/Yeru"
6,2.007,3,316734.3,1617521.95,14.624862,79.298471,"WaterBody,Vagu/Vanka/Yeru"
6,2.007,4,316697.97,1617464.48,14.62434,79.298138,"WaterBody,Vagu/Vanka/Yeru"
6,2.007,5,316699.89,1617415.44,14.623897,79.29816,"WaterBody,Vagu/Vanka/Yeru"
6,2.007,6,316669.93,1617414.7,14.623888,79.297881,"WaterBody,Vagu/Vanka/Yeru"
6,2.007,7,316651.6,1617420.1,14.623936,79.297711,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,1,316673.8,1617379.49,14.62357,79.29792,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,2,316669.93,1617414.7,14.623888,79.297881,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,3,316699.89,1617415.44,14.623897,79.29816,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,4,316758.67,1617387.06,14.623644,79.298707,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,5,316787.52,1617305.17,14.622906,79.29898,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,6,316746.39,1617244.62,14.622356,79.298603,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,7,316729.2,1617204.67,14.621994,79.298446,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,8,316666.52,1617201.61,14.621962,79.297865,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,9,316648.02,1617202.14,14.621966,79.297693,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,10,316649.55,1617226.07,14.622182,79.297705,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,11,316650.95,1617248.11,14.622381,79.297717,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,12,316653.78,1617292.46,14.622782,79.29774,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,13,316683.25,1617296.47,14.622821,79.298013,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,14,316700.68,1617298.85,14.622843,79.298175,"WaterBody,Vagu/Vanka/Yeru"
7,4.423,15,316709.8,1617354.04,14.623343,79.298256,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,1,316666.52,1617201.61,14.621962,79.297865,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,2,316729.2,1617204.67,14.621994,79.298446,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,3,316715.6,1617117.41,14.621204,79.298326,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,4,316706.65,1617026.29,14.62038,79.298249,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,5,316689.51,1616974.13,14.619908,79.298094,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,6,316680.88,1616923.98,14.619454,79.298017,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,7,316633.88,1616953.53,14.619718,79.297579,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,8,316654.51,1616973.13,14.619896,79.297769,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,9,316667.79,1617000.53,14.620145,79.29789,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,10,316674.29,1617013.94,14.620267,79.29795,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,11,316677.85,1617032.93,14.620438,79.297982,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,12,316683.1,1617060.86,14.620691,79.298028,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,13,316668.18,1617154.12,14.621533,79.297883,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,14,316669.03,1617170.88,14.621685,79.29789,"WaterBody,Vagu/Vanka/Yeru"
46,2.639,15,316670.21,1617194.22,14.621896,79.297899,"WaterBody,Vagu/Vanka/Yeru"
108,1.183,1,316633.88,1616953.53,14.619718,79.297579,"WaterBody,Vagu/Vanka/Yeru"
108,1.183,2,316680.88,1616923.98,14.619454,79.298017,"WaterBody,Vagu/Vanka/Yeru"
108,1.183,3,316727.29,1616897.18,14.619215,79.29845,"WaterBody,Vagu/Vanka/Yeru"
108,1.183,4,316729.85,1616844.57,14.61874,79.298477,"WaterBody,Vagu/Vanka/Yeru"
108,1.183,5,316701.81,1616832.48,14.618628,79.298218,"WaterBody,Vagu/Vanka/Yeru"
108,1.183,6,316702.31,1616861.64,14.618892,79.29822,"WaterBody,Vagu/Vanka/Yeru"
108,1.183,7,316669.81,1616887.35,14.619122,79.297917,"WaterBody,Vagu/Vanka/Yeru"
108,1.183,8,316651.83,1616901.56,14.619249,79.297749,"WaterBody,Vagu/Vanka/Yeru"
108,1.183,9,316625.68,1616930.97,14.619513,79.297505,"WaterBody,Vagu/Vanka/Yeru"
283,0.592,1,316720.47,1616475.44,14.615403,79.298416,"Road,Puntha/Bandi Jada/Kalibata"
283,0.592,2,316717.18,1616490.04,14.615535,79.298384,"Road,Puntha/Bandi Jada/Kalibata"
283,0.592,3,316739.76,1616525.65,14.615858,79.298592,"Road,Puntha/Bandi Jada/Kalibata"
283,0.592,4,316763.31,1616550.39,14.616083,79.298808,"Road,Puntha/Bandi Jada/Kalibata"
283,0.592,5,316784.25,1616551.11,14.616091,79.299003,"Road,Puntha/Bandi Jada/Kalibata"
283,0.592,6,316824.99,1616552.52,14.616107,79.299381,"Road,Puntha/Bandi Jada/Kalibata"
283,0.592,7,316869.58,1616567.87,14.616248,79.299793,"Road,Puntha/Bandi Jada/Kalibata"
283,0.592,8,316867.57,1616539.18,14.615989,79.299777,"Road,Puntha/Bandi Jada/Kalibata"
283,0.592,9,316837.8,1616539.08,14.615986,79.299501,"Road,Puntha/Bandi Jada/Kalibata"
283,0.592,10,316769.78,1616538.88,14.61598,79.298869,"Road,Puntha/Bandi Jada/Kalibata"
283,0.592,12,316751.55,1616528.2,14.615882,79.298701,"Road,Puntha/Bandi Jada/Kalibata"
314,1.227,1,316791.93,1616269.12,14.613543,79.299094,"WaterBody,Vagu/Vanka/Yeru"
314,1.227,2,316821.91,1616269.33,14.613547,79.299372,"WaterBody,Vagu/Vanka/Yeru"
